Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 14f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Domestic Violence, Homicide Murder, Physical Assault, Robbery Theft, Sex Crimes.",TOTAL,,,,,1420,,104,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,TOTAL,156,558,,0,209,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15a,KEYWORD_ADULT_SEXUAL_MATERIAL,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15b,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15c,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15d,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,"Under this category, we consider member state orders for: ",TOTAL,156,558,,20,209,,71,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15e,KEYWORD_LANGUAGE_REQUIREMENTS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15f,KEYWORD_NUDITY,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15g,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 16,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,TOTAL,80,231,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,AT,2,2,,46,261,,92,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,BE,11,77,,6,407,,100,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,BG,3,6,,27,59,,172,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,CY,0,0,,0,1,,76,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,CZ,0,0,,0,9,,74,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,DE,200,987,,5,6205,,79,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,DK,56,143,,4,112,,97,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,EE,13,17,,1,9,,115,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,ES,59,1387,,9,1011,,126,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,FI,6,6,,0,110,,77,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,FR,389,1116,,3,2934,,48,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,GR,9,18,,26,120,,191,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,HR,0,0,,0,39,,102,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,HU,21,23,,4,31,,221,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,IE,36,144,,47,84,,122,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,IT,50,7,,2,532,,168,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,LT,9,101,,50,6,,865,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,LU,3,10,,1,3,,120,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,LV,2,11,,94,9,,247,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,MT,0,0,,0,22,,119,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,NL,79,236,,20,301,,71,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,PL,7,9,,40,166,,251,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,PT,0,0,,0,30,,343,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,RO,97,568,,23,159,,146,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,SE,18,165,,1,442,,109,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,SI,0,0,,0,3,,151,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,TOTAL,TOTAL,,SK,0,0,,0,1,,360,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,AT,,,,,3,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,BE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,BG,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,DE,,,,,12,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,ES,,,,,8,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,FI,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,FR,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,GR,,,,,8,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,HU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,IE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,IT,,,,,0,,0,,,,,,,
